,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profit,ROI,Year,nameYear
3464,star wars ep iv a new hope,11000000,460998007,786598007,775598007,71.50890972727272,1977,star wars ep iv a new hope1977
5681,eraserhead,100000,7000000,7014590,6914590,70.1459,1977,eraserhead1977
988,superman,55000000,134218018,300200000,245200000,5.458181818181818,1978,superman1978
4112,grease,6000000,181813770,387510179,381510179,64.58502983333334,1978,grease1978
3222,caravans,14000000,1000000,1000000,-13000000,0.07142857142857142,1978,caravans1978
3003,heaven can wait,15000000,98800000,98800000,83800000,6.586666666666667,1978,heaven can wait1978
2353,the wiz,24000000,22000000,22000000,-2000000,0.9166666666666666,1978,the wiz1978
3487,fist,11000000,20388920,20388920,9388920,1.8535381818181818,1978,fist1978
4326,force 10 from navarone,5000000,7100000,7100000,2100000,1.42,1978,force 10 from navarone1978
5536,halloween,325000,47000000,70000000,69675000,215.3846153846154,1978,halloween1978
4663,national lampoons animal house,3000000,141600000,141600000,138600000,47.2,1978,national lampoons animal house1978
4671,coming home,3000000,32653000,32653000,29653000,10.884333333333334,1978,coming home1978
4718,days of heaven,3000000,3446749,3660880,660880,1.2202933333333332,1978,days of heaven1978
3387,the boys from brazil,12000000,19000000,19000000,7000000,1.5833333333333333,1978,the boys from brazil1978
2500,jaws 2,20000000,102922376,208900376,188900376,10.4450188,1978,jaws 21978
2549,the black hole,20000000,35841901,35841901,15841901,1.79209505,1979,the black hole1979
1803,1941,32000000,34175000,94875000,62875000,2.96484375,1979,19411979
5651,dolphin,170000,14000,14000,-156000,0.08235294117647059,1979,dolphin1979
4176,the first great train robbery,6000000,391942,391942,-5608058,0.06532366666666667,1979,the first great train robbery1979
3019,the deer hunter,15000000,50000000,50009253,35009253,3.3339502,1979,the deer hunter1979
3382,prophecy,12000000,22673340,22673340,10673340,1.889445,1979,prophecy1979
1825,moonraker,31000000,70300000,210300000,179300000,6.783870967741936,1979,moonraker1979
3326,the prisoner of zenda,12500000,7000000,7000000,-5500000,0.56,1979,the prisoner of zenda1979
1819,apocalypse now,31500000,78800000,81250485,49750485,2.5793804761904764,1979,apocalypse now1979
3869,escape from alcatraz,8000000,43000000,43000000,35000000,5.375,1979,escape from alcatraz1979
3836,the rose,8500000,29200000,29200000,20700000,3.4352941176470586,1979,the rose1979
4790,the black stallion,2700000,37799643,37799643,35099643,13.999867777777778,1979,the black stallion1979
2962,meteor,16000000,8400000,8400000,-7600000,0.525,1979,meteor1979
3520,alien,10700000,80930630,203628947,192928947,19.030742710280375,1979,alien1979
1637,star trek the motion picture,35000000,82258456,139000000,104000000,3.9714285714285715,1979,star trek the motion picture1979
4487,life of brian,4000000,20182359,20468305,16468305,5.11707625,1979,life of brian1979
5074,dawn of the dead,1500000,5100000,55000000,53500000,36.666666666666664,1979,dawn of the dead1979
3863,the muppet movie,8000000,76657000,76657000,68657000,9.582125,1979,the muppet movie1979
2094,the blues brothers,27000000,57229890,57229890,30229890,2.1196255555555554,1980,the blues brothers1980
1519,raise the titanic,40000000,7000000,7000000,-33000000,0.175,1980,raise the titanic1980
5686,penitentiary,100000,287000,287000,187000,2.87,1980,penitentiary1980
5515,home movies,400000,89134,89134,-310866,0.222835,1980,home movies1980
1749,lion of the desert,35000000,1500000,1500000,-33500000,0.04285714285714286,1980,lion of the desert1980
4425,the blue lagoon,4500000,47923795,47923795,43423795,10.649732222222223,1980,the blue lagoon1980
3009,private benjamin,15000000,69847348,69847348,54847348,4.656489866666667,1980,private benjamin1980
3618,the long riders,10000000,15198912,15198912,5198912,1.5198912,1980,the long riders1980
1696,flash gordon,35000000,27107960,27107960,-7892040,0.7745131428571429,1980,flash gordon1980
2367,star wars ep v the empire strikes back,23000000,290271960,534161334,511161334,23.224405826086958,1980,star wars ep v the empire strikes back1980
5527,maniac,350000,10000000,10000000,9650000,28.571428571428573,1980,maniac1980
2685,cant stop the music,20000000,2000000,2000000,-18000000,0.1,1980,cant stop the music1980
4605,terror train,3500000,8000000,8000000,4500000,2.2857142857142856,1980,terror train1980
2434,the island,22000000,15716828,15716828,-6283172,0.7144012727272727,1980,the island1980
5192,the fog,1100000,21445318,21445820,20345820,19.4962,1980,the fog1980
4121,caddyshack,6000000,39846344,39846344,33846344,6.641057333333333,1980,caddyshack1980
5424,friday the 13th,550000,39754601,59754601,59204601,108.6447290909091,1980,friday the 13th1980
4088,dressed to kill,6500000,31899000,31899000,25399000,4.907538461538461,1980,dressed to kill1980
4246,somewhere in time,5100000,9709597,9709597,4609597,1.9038425490196078,1980,somewhere in time1980
1333,heavens gate,44000000,3484331,3484523,-40515477,0.07919370454545455,1980,heavens gate1980
4587,airplane,3500000,83453539,83453539,79953539,23.843868285714287,1980,airplane1980
5613,mad max,200000,8750000,99750000,99550000,498.75,1980,mad max1980
4274,the elephant man,5000000,26010864,26010864,21010864,5.2021728,1980,the elephant man1980
2525,popeye,20000000,49823037,49823037,29823037,2.49115185,1980,popeye1980
2800,raging bull,18000000,23380203,23380203,5380203,1.2989001666666666,1980,raging bull1980
4117,ordinary people,6000000,52302978,52302978,46302978,8.717163,1980,ordinary people1980
3010,coal miners daughter,15000000,67182787,67182787,52182787,4.478852466666667,1980,coal miners daughter1980
2732,the shining,19000000,44017374,44728227,25728227,2.354117210526316,1980,the shining1980
4223,galaxina,5500000,4865000,4865000,-635000,0.8845454545454545,1980,galaxina1980
1048,superman ii,54000000,108185706,108185706,54185706,2.003439,1981,superman ii1981
3657,heartbeeps,10000000,6000000,6000000,-4000000,0.6,1981,heartbeeps1981
2907,roar,17000000,2110050,2110050,-14889950,0.12412058823529412,1981,roar1981
4087,the four seasons,6500000,42488161,42488161,35988161,6.536640153846154,1981,the four seasons1981
4214,chariots of fire,5500000,61558162,61865947,56365947,11.248354,1981,chariots of fire1981
3050,clash of the titans,15000000,30000000,44400000,29400000,2.96,1981,clash of the titans1981
5568,graduation day,250000,23894000,23894000,23644000,95.576,1981,graduation day1981
5147,friday the 13th part 2,1250000,21722776,21722776,20472776,17.3782208,1981,friday the 13th part 21981
5218,the howling,1000000,17985000,17985000,16985000,17.985,1981,the howling1981
3539,stripes,10000000,85300000,85300000,75300000,8.53,1981,stripes1981
2825,dragonslayer,18000000,6000000,6000000,-12000000,0.3333333333333333,1981,dragonslayer1981
4706,gallipoli,3000000,5732587,5732587,2732587,1.9108623333333334,1981,gallipoli1981
4290,mommie dearest,5000000,19032000,25032000,20032000,5.0064,1981,mommie dearest1981
3679,sphinx,10000000,2000000,11400000,1400000,1.14,1981,sphinx1981
4300,nighthawks,5000000,14600000,19600000,14600000,3.92,1981,nighthawks1981
2817,the legend of the lone ranger,18000000,13400000,13400000,-4600000,0.7444444444444445,1981,the legend of the lone ranger1981
2486,raiders of the lost ark,20000000,225686079,367452079,347452079,18.37260395,1981,raiders of the lost ark1981
