,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,Action,Crime,Drama,Biography,Comedy,Fantasy,Horror,Thriller,Adventure,Animation,Documentary,History,Mystery,Science Fiction,Romance,Family,War,Music,Sport,Western,Musical,Adult,News,Link,start_year_str,Unnamed: 0_y,Title,Studio,Domestic Gross_x,Foreign Gross,Year_x,Clean Title,Unnamed: 0_x,Average Rating,Number of Votes,Unnamed: 0_y,Movie,Production Budget,Domestic Gross_y,Worldwide Gross,Profit,ROI,Year_y,nameYear
50,266,tt0790636,Dallas Buyers Club,Dallas Buyers Club,2013,117.0,"Biography,Drama",False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dallas buyers club2013,2013,1229,Dallas Buyers Club,Focus,27300000.0,27900000,2013,dallas buyers club,63425,8.0,402462,4272,dallas buyers club,5000000,27298285,60611845,55611845,12.122369,2013,dallas buyers club2013
51,269,tt0790724,Jack Reacher,Jack Reacher,2012,130.0,"Action,Crime,Thriller",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,jack reacher2012,2012,763,Jack Reacher,Par.,80100000.0,138300000,2012,jack reacher,2231,7.0,284547,867,jack reacher,60000000,80070736,217370736,157370736,3.6228455999999998,2012,jack reacher2012
52,270,tt0790736,R.I.P.D.,R.I.P.D.,2013,96.0,"Action,Adventure,Comedy",True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ripd2013,2013,1210,R.I.P.D.,Uni.,33600000.0,44700000,2013,ripd,17231,5.6,109078,254,ripd,130000000,33618855,79076678,-50923322,0.6082821384615384,2013,ripd2013
53,281,tt0800369,Thor,Thor,2011,115.0,"Action,Adventure,Fantasy",True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,thor2011,2011,342,Thor,Par.,181000000.0,268300000,2011,thor,13579,7.0,683264,169,thor,150000000,181030624,449326618,299326618,2.995510786666667,2011,thor2011
54,283,tt0803096,Warcraft,Warcraft,2016,123.0,"Action,Adventure,Fantasy",True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,warcraft2016,2016,2339,Warcraft,Uni.,47400000.0,386300000,2016,warcraft,4620,6.9,225557,145,warcraft,160000000,47225655,425522281,265522281,2.65951425625,2016,warcraft2016
55,286,tt0804497,It's Kind of a Funny Story,It's Kind of a Funny Story,2010,101.0,"Comedy,Drama,Romance",False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,its kind of a funny story2010,2010,186,It's Kind of a Funny Story,Focus,6400000.0,128000,2010,its kind of a funny story,21284,7.1,125583,3900,its kind of a funny story,8000000,6363628,6632950,-1367050,0.82911875,2010,its kind of a funny story2010
56,292,tt0808510,Tooth Fairy,Tooth Fairy,2010,101.0,"Comedy,Family,Fantasy",False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,tooth fairy2010,2010,58,Tooth Fairy,Fox,60000000.0,52400000,2010,tooth fairy,62128,5.0,37939,1222,tooth fairy,48000000,60022256,112610386,64610386,2.346049708333333,2010,tooth fairy2010
57,297,tt0810913,Jack and Jill,Jack and Jill,2011,91.0,Comedy,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,jack and jill2011,2011,379,Jack and Jill,Sony,74200000.0,75500000,2011,jack and jill,23330,3.3,71361,610,jack and jill,79000000,74158157,150519217,71519217,1.905306544303797,2011,jack and jill2011
58,298,tt0810922,Take Me Home Tonight,Take Me Home Tonight,2011,97.0,"Comedy,Drama,Romance",False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,take me home tonight2011,2011,524,Take Me Home Tonight,Rela.,6900000.0,,2011,take me home tonight,21285,6.3,48393,2747,take me home tonight,19000000,6928068,7576604,-11423396,0.3987686315789474,2011,take me home tonight2011
59,304,tt0814255,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,2010,118.0,"Adventure,Family,Fantasy",False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,percy jackson  the olympians the lightning thief2010,2010,31,Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000.0,137700000,2010,percy jackson  the olympians the lightning thief,30170,5.9,165108,416,percy jackson  the olympians the lightning thief,95000000,88768303,223050874,128050874,2.3479039368421053,2010,percy jackson  the olympians the lightning thief2010
