,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,Action,Crime,Drama,Biography,Comedy,Fantasy,Horror,Thriller,Adventure,Animation,Documentary,History,Mystery,Science Fiction,Romance,Family,War,Music,Sport,Western,Musical,Adult,News,Link,start_year_str,Unnamed: 0_y,Title,Studio,Domestic Gross,Foreign Gross,Year,Clean Title
1747,91395,tt5286444,Neerja,Neerja,2016,122.0,"Biography,Drama,Thriller",False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,neerja2016,2016,2477,Neerja,FIP,1600000.0,16000000,2016,neerja
1748,91514,tt5294550,All the Money in the World,All the Money in the World,2017,132.0,"Biography,Crime,Drama",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,all the money in the world2017,2017,2853,All the Money in the World,TriS,25100000.0,31900000,2017,all the money in the world
1749,91727,tt5304464,Happy End,Happy End,2017,107.0,Drama,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,happy end2017,2017,3001,Happy End,SPC,302000.0,,2017,happy end
1750,91803,tt5308322,Happy Death Day,Happy Death Day,2017,96.0,"Horror,Mystery,Thriller",False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,happy death day2017,2017,2823,Happy Death Day,Uni.,55700000.0,69800000,2017,happy death day
1751,91816,tt5310090,Saala Khadoos,Saala Khadoos,2016,109.0,"Action,Drama,Sport",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,saala khadoos2016,2016,2664,Saala Khadoos,UTV,76900.0,,2016,saala khadoos
1752,92010,tt5321942,Busco novio para mi mujer,Busco novio para mi mujer,2016,92.0,Comedy,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,busco novio para mi mujer2016,2016,2553,Busco Novio Para Mi Mujer,PNT,1700000.0,,2016,busco novio para mi mujer
1753,92011,tt5322012,Wish Upon,Wish Upon,2017,90.0,"Drama,Fantasy,Horror",False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,wish upon2017,2017,2905,Wish Upon,BG,14300000.0,,2017,wish upon
1754,92058,tt5325452,Boo! A Madea Halloween,Boo! A Madea Halloween,2016,103.0,"Comedy,Drama,Horror",False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,boo a madea halloween2016,2016,2414,Boo! A Madea Halloween,LGF,73200000.0,1600000,2016,boo a madea halloween
1755,92752,tt5360952,The Hurricane Heist,The Hurricane Heist,2018,103.0,"Action,Adventure,Crime",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the hurricane heist2018,2018,3243,The Hurricane Heist,ENTMP,6100000.0,,2018,the hurricane heist
1756,92781,tt5362988,Wind River,Wind River,2017,107.0,"Crime,Drama,Mystery",False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,wind river2017,2017,2876,Wind River,Wein.,33800000.0,,2017,wind river
1757,92811,tt5365246,Ramleela,Ramleela,2013,155.0,"Comedy,Drama",False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ramleela2013,2013,1329,Ram-Leela,Eros,2700000.0,,2013,ramleela
1758,93052,tt5390504,Detroit,Detroit,2017,143.0,"Crime,Drama,History",False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,detroit2017,2017,2901,Detroit,Annapurna,16800000.0,,2017,detroit
1759,93343,tt5437928,Colette,Colette,2018,111.0,"Biography,Drama,History",False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,colette2018,2018,3249,Colette,BST,5100000.0,,2018,colette
1760,143053,tt9461382,Colette,Colette,2018,29.0,"Documentary,Mystery",False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,colette2018,2018,3249,Colette,BST,5100000.0,,2018,colette
1761,93362,tt5439796,Logan Lucky,Logan Lucky,2017,118.0,"Comedy,Crime,Drama",False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,logan lucky2017,2017,2858,Logan Lucky,BST,27800000.0,20700000,2017,logan lucky
1762,93403,tt5442430,Life,Life,2017,104.0,"Horror,Sci-Fi,Thriller",False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,life2017,2017,2831,Life,Sony,30200000.0,70300000,2017,life
1763,93586,tt5456546,Judwaa 2,Judwaa 2,2017,145.0,"Action,Comedy",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,judwaa 22017,2017,2883,Judwaa 2,FIP,1400000.0,25500000,2017,judwaa 2
1764,93732,tt5462602,The Big Sick,The Big Sick,2017,120.0,"Comedy,Drama,Romance",False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,the big sick2017,2017,2854,The Big Sick,LGF,42900000.0,13500000,2017,the big sick
1765,93752,tt5463162,Deadpool 2,Deadpool 2,2018,119.0,"Action,Adventure,Comedy",True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,deadpool 22018,2018,3087,Deadpool 2,Fox,318500000.0,460500000,2018,deadpool 2
1766,93920,tt5471480,Magnus,Magnus,2016,78.0,Documentary,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,magnus2016,2016,2742,Magnus,FR,8900.0,,2016,magnus
1767,93965,tt5474036,Manmarziyaan,Manmarziyaan,2018,156.0,Romance,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,manmarziyaan2018,2018,3298,Manmarziyaan,Eros,567000.0,,2018,manmarziyaan
1768,94054,tt5478478,Hostiles,Hostiles,2017,134.0,"Adventure,Drama,Western",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,hostiles2017,2017,2880,Hostiles,ENTMP,29800000.0,,2017,hostiles
1769,94261,tt5493944,The Little Mermaid,The Little Mermaid,2018,85.0,"Adventure,Drama,Fantasy",False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the little mermaid2018,2018,3326,The Little Mermaid,Conglomerate,147000.0,,2018,the little mermaid
1770,94407,tt5502766,Phillauri,Phillauri,2017,138.0,"Comedy,Drama,Fantasy",False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,phillauri2017,2017,2932,Phillauri,FIP,468000.0,5000000,2017,phillauri
1771,94422,tt5503688,6 Below: Miracle on the Mountain,6 Below: Miracle on the Mountain,2017,98.0,"Adventure,Biography,Drama",False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6 below miracle on the mountain2017,2017,2975,6 Below: Miracle on the Mountain,MOM,14800.0,1100000,2017,6 below miracle on the mountain
1772,94669,tt5519566,The First Monday in May,The First Monday in May,2016,90.0,Documentary,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,the first monday in may2016,2016,2599,The First Monday in May,Magn.,527000.0,,2016,the first monday in may
1773,94715,tt5523010,The Nutcracker and the Four Realms,The Nutcracker and the Four Realms,2018,99.0,"Adventure,Family,Fantasy",False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,the nutcracker and the four realms2018,2018,3122,The Nutcracker and the Four Realms,BV,54900000.0,119100000,2018,the nutcracker and the four realms
1774,95029,tt5540188,The Nile Hilton Incident,The Nile Hilton Incident,2017,111.0,"Crime,Drama,Thriller",False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the nile hilton incident2017,2017,3036,The Nile Hilton Incident,Strand,81100.0,,2017,the nile hilton incident
